COUNTRY,NUMBER
"Algeria",111111
"Australia",111112
"Bahrain",111113
"Brazil",111114
"Bulgaria",111115
"Canada",111116
"China",111117
"Colombia",111118
"Croatia",111119
"Cyprus",111120
"Czech Republic",111121
"Denmark",111122
"Finland",111123
"France",111124
"Germany",111125
"Greece",111126
"India",111127
"Indonesia",111128
"Ireland",111129
"Italy",111130
"Japan",111131
"Jordan",111132
"Korea",111133
"Lebanon",111134
"Malaysia",111135
"Mexico",111136
"Morocco",111137
"Netherlands",111138
"New Zealand",111139
"Pakistan",111140
"Palestine",111141
"Panama",111142
"Philippines",111143
"Poland",111144
"Portugal",111145
"Serbia",111146
"Singapore",111147
"Slovak Republic",111148
"South Africa",111149
"Spain",111150
"Sweden",111151
"Thailand",111152
"Trinidad and Tobago",111153
"Türkiye",111154
"UAE",111155
"UK",111156
"Ukraine",111157
"USA",111158
"Venezuela",111159
"Yemen",111160
